requirement_id,test_id,priority,test_level,domain,persona,quality_characteristic,test_type,precondition,steps,expected_result,is_negative,automation,test_file_path,implementation_status,test_basis,notes,created_at
440,T-PLAN-001,P0,api,plan,P3,セキュリティ,異常系,role=USER plan=FREE で認証済みユーザーを用意する,"1. PATCH /api/v1/user/admin/plan へ当該ユーザーのトークンで送信する<br>2. body: {targetUserId: '任意のユーザーID', plan: 'PREMIUM'}",HTTP 403 / errorCode: FORBIDDEN / プランは変更されない,true,Vitest,apps/web/__tests__/api/v1/user.test.ts,実装済み,apps/web/lib/api/server/v1/user.ts:user.patch('/admin/plan'),ADMINロール専用エンドポイントにUSERロールがアクセスする。honoAdminMiddlewareではなく手動でroleを確認する実装になっているため、ロールチェック漏れが無いか確認する,2026-06-25
440,T-PLAN-002,P0,api,plan,P4,信頼性,正常系,"role=ADMIN のユーザーが存在する<br>role=USER, plan=FREE のターゲットユーザーが存在する","1. PATCH /api/v1/user/admin/plan を body={targetUserId: ""<対象ユーザーID>"", plan: ""PREMIUM"", reason: ""テスト""} で呼び出す<br>2. HTTP 200 を確認する<br>3. DB の TUserPlanHistory テーブルを直接確認する","HTTP 200<br>TUserPlanHistory テーブルに userId=対象ユーザーID, plan=PREMIUM, changedById=ADMINのユーザーID のレコードが1件INSERTされている",false,Vitest,apps/web/__tests__/api/v1/user.test.ts,実装済み,apps/web/lib/api/server/repositories/PrismaUserPlanHistoryRepository.ts:createPlanHistory<br>packages/database/prisma/schema.prisma:TUserPlanHistory,APIレスポンスの確認だけでなく、DBレコードの実在をPrismaクライアントで直接確認することが重要,2026-06-25
440,T-PLAN-003,P0,api,plan,P4,信頼性,正常系,role=USER のターゲットユーザーに TUserPlanHistory レコードが複数件（FREE→PREMIUM→FREEの順）存在する,1. GET /api/v1/user/plan/histories を呼び出す<br>2. レスポンスの配列順を確認する<br>3. DB の TUserPlanHistory を changedAt DESC で直接取得して比較する,HTTP 200<br>レスポンス配列の順序がDBの changedAt DESC の順序と一致している<br>件数もDBレコード件数と一致している,false,Vitest,apps/web/__tests__/api/v1/user.test.ts,実装済み,apps/web/lib/api/server/repositories/PrismaUserPlanHistoryRepository.ts:findHistoriesByUserId,findHistoriesByUserId は orderBy: changedAt desc で取得している。レスポンスとDB順序の一致を確認する,2026-06-25
440,T-PLAN-004,P1,api,plan,P4,信頼性,異常系,role=ADMIN のユーザーが存在する<br>role=ADMIN の別ユーザー(操作対象)が存在する,"1. PATCH /api/v1/user/admin/plan を body={targetUserId: ""<ADMINユーザーのID>"", plan: ""PREMIUM""} で管理者トークンを付けて呼び出す<br>2. レスポンスのHTTPステータスとエラーコードを確認する<br>3. DB の TUserPlanHistory テーブルを確認する",HTTP 403<br>errorCode: FORBIDDEN<br>TUserPlanHistory テーブルに新規レコードがINSERTされていない (ロールバックされている),true,Vitest,apps/web/__tests__/api/v1/user.test.ts,未実装,apps/web/lib/api/server/services/UserPlanService.ts:changePlan (role !== USER の場合はFORBIDDEN),UserPlanService.changePlan は targetUser.role !== USER の場合にエラーをthrowする。エラー時にDBへの書き込みが発生していないことを確認する,2026-06-25
440,T-PLAN-005,P1,unit,plan,P5,機能適切性,境界値,"AccountLimitsValue.from('ADMIN', null) を生成","1. limits.bike / limits.fuelLog / limits.touring / limits.touringPlan / limits.maintenanceLog を参照する<br>2. isOver('bike', 99999) を呼び出す",全フィールドが null / isOver が false を返す（ADMINは全て無制限）,false,Vitest,apps/web/__tests__/api/v1/user.test.ts,未実装,apps/web/lib/api/server/valueObjects/AccountLimitsValue.ts:from (ADMINブランチ),ADMINはplanの値に関わらず全て無制限になることを検証する,2026-06-25
440,T-PLAN-006,P2,api,plan,P5,機能適切性,境界値,"role=USER, plan=FREE, バイク1台登録済み (myUserBikeId取得済み), ツーリングプラン10件登録済み（上限に達した状態）",1. POST /api/v1/user-bike/bike/:myUserBikeId/touring-plans (title を正常値で送信),"HTTP 400 / errorCode: INVALID_REQUEST / message: ""無料ユーザーはツーリングプランを10件まで登録できます""",true,Vitest,apps/web/__tests__/api/v1/touringPlans.test.ts,実装済み,apps/web/lib/statics.ts:FREE_USER_LIMITS.TOURING_PLAN=10 / apps/web/lib/api/server/services/TouringPlanService.ts:96,PREMIUMはtouringPlan=null（無制限）なので同様のリクエストが通過することもセットで検証することが望ましい,2026-06-25
440,T-PLAN-007,P1,api,plan,P7,互換性,異常系,role=USER、plan=FREE、プラン変更履歴が1件以上存在する,1. GET /api/v1/user/plan/histories でプラン変更履歴を取得する<br>2. レスポンスの data[0].changedByName を確認する,HTTP 200 かつ data[0].changedByName が空文字列ではなく変更者の実際の名前（文字列）を返すこと。現在の実装では changedByName が '' にハードコードされており、ApiResponseUserPlanHistory 型の changedByName: string の意味的要件を満たしていない,true,Vitest,apps/web/__tests__/api/v1/user.test.ts,未実装,packages/shared-types/src/common/ApiIO.ts:ApiResponseUserPlanHistory<br>apps/web/lib/api/server/v1/user.ts:GET /plan/histories,実装では changedByName: '' がハードコード。PrismaUserPlanHistoryRepository の findHistoriesByUserId は changedById を返しているが変更者の name を JOIN していない,2026-06-25
440,T-PLAN-008,P1,api,plan,P7,互換性,異常系,role=ADMIN でログイン済み,1. ADMINユーザーのトークンで GET /api/v1/user/plan/histories を呼ぶ<br>2. レスポンスの data を確認する,HTTP 200 かつ data が空配列 [] であること。コメントには「role !== 'USER' の場合は空配列を返す」と記載されているが、UserPlanService.getPlanHistories の実装にロールチェックが存在しないため、ADMINのプラン履歴（存在する場合）がそのまま返される可能性がある,true,Vitest,apps/web/__tests__/api/v1/user.test.ts,未実装,apps/web/lib/api/server/services/UserPlanService.ts:getPlanHistories<br>apps/web/lib/api/server/v1/user.ts:GET /plan/histories,UserPlanService.getPlanHistories は userId を IUserPlanHistoryRepository に渡すのみでロールチェックを行っていない。ドキュメントコメントの仕様と実装が乖離している,2026-06-25
440,T-PLAN-009,P1,api,plan,P7,互換性,境界値,role=ADMIN でログイン済み、対象ユーザーが role=USER で存在する,"1. PATCH /api/v1/user/admin/plan を呼ぶ<br>2. body: {targetUserId: ""<target_user_id>"", plan: ""PREMIUM"", reason: null}<br>3. 続けて GET /api/v1/user/plan/histories を対象ユーザーのトークンで呼ぶ<br>4. data[0].reason の値を確認する",HTTP 200 (PATCH) かつ GET レスポンスの data[0].reason が null であること。ChangePlanRequestSchema では reason は nullable().optional() だが、UserPlanHistory 型の reason は string | null（optional ではない）。null を送信した場合に reason: null として正しく保存・返却されるか確認,false,Vitest,apps/web/__tests__/api/v1/user.test.ts,未実装,packages/shared-types/src/schemas/userPlanSchema.ts:ChangePlanRequestSchema<br>packages/shared-types/src/domain/userPlanHistory.ts:UserPlanHistory,ChangePlanRequestSchema では reason: z.string().max(200).nullable().optional() で定義。リクエストで reason を省略した場合と reason: null を明示した場合の両方で TUserPlanHistory.reason が null になるかを確認する必要がある,2026-06-25
440,T-PLAN-010,P1,api,plan,P7,互換性,異常系,role=ADMIN でログイン済み、対象ユーザーが role=USER で存在する,"1. PATCH /api/v1/user/admin/plan を呼ぶ<br>2. body: {targetUserId: ""<target_user_id>"", plan: ""INVALID_PLAN""}<br>3. レスポンスを確認する","HTTP 400 かつ errorCode が VALIDATION_ERROR であること。ChangePlanRequestSchema は z.enum(['FREE', 'PREMIUM']) で定義されているため 'INVALID_PLAN' は弾かれるべき。エラーレスポンスが ErrorResponse 型（{status, errorCode, message, details?}）に準拠していること",true,Vitest,apps/web/__tests__/api/v1/user.test.ts,未実装,packages/shared-types/src/schemas/userPlanSchema.ts:ChangePlanRequestSchema<br>packages/shared-types/src/common/ApiIO.ts:ErrorResponse<br>packages/shared-types/src/common/ApiIO.ts:ErrorCodeMap,MUserPlan enum（DB）が FREE/PREMIUM のみ。ChangePlanRequestSchema も同じ値のみ許容。Zodのバリデーションエラー形式が統一されているかを確認する,2026-06-25
440,T-PLAN-011,P2,api,plan,P7,互換性,正常系,role=ADMIN でログイン済み、対象ユーザーが role=USER で存在し plan=FREE の状態,"1. PATCH /api/v1/user/admin/plan を呼ぶ<br>2. body: {targetUserId: ""<target_user_id>"", plan: ""FREE""} （同じプランに変更）<br>3. GET /api/v1/user/plan/histories を対象ユーザーのトークンで呼ぶ<br>4. 履歴件数を確認する",HTTP 200 (PATCH) かつ TUserPlanHistory に同プランへの変更レコードが追加されること（履歴が2件になること）。仕様上「同じプランへの変更は弾く」制約が存在するかどうかを確認する。現在の UserPlanService.changePlan には同プランチェックが存在しない,false,Vitest,apps/web/__tests__/api/v1/user.test.ts,未実装,apps/web/lib/api/server/services/UserPlanService.ts:changePlan<br>packages/shared-types/src/domain/userPlanHistory.ts:UserPlanHistory,UserPlanService.changePlan は現在のプランと新プランが同じかをチェックしていない。仕様として同プランへの変更を許可すべきか禁止すべきかが不明確,2026-06-25
440,T-PLAN-012,P1,api,plan,P7,互換性,正常系,role=ADMIN でログイン済み、対象ユーザーが role=USER で plan=FREE の状態,1. PATCH /api/v1/user/admin/plan で plan を PREMIUM に変更する<br>2. GET /api/v1/user/profile を対象ユーザーのトークンで呼ぶ<br>3. レスポンスの data.plan を確認する,HTTP 200 (GET) かつ data.plan が 'PREMIUM' であること。プラン変更後に GET /api/v1/user/profile が最新のプランを返すことを確認する。PrismaUserRepository が planHistories を orderBy changedAt desc で取得しているため最新履歴が反映されるはずだが、実際のレスポンスと型定義の整合性を検証する,false,Vitest,apps/web/__tests__/api/v1/user.test.ts,未実装,apps/web/lib/api/server/repositories/PrismaUserRepository.ts:USER_SELECT<br>packages/shared-types/src/common/ApiIO.ts:ApiResponseUserProfile,PrismaUserRepository の USER_SELECT は planHistories を take: 1 で orderBy changedAt desc。プラン変更後に GET /profile を呼ぶと plan フィールドが更新された値を返すかを確認する,2026-06-25
