requirement_id,test_id,priority,test_level,domain,persona,quality_characteristic,test_type,precondition,steps,expected_result,is_negative,automation,test_file_path,implementation_status,test_basis,notes,created_at
440,T-AUTH-001,P0,api,auth,P1,機能適切性,正常系,Firebase Emulatorが起動済み。未登録のメールアドレスとパスワードを使用する,"1. Firebase Emulatorに新規メールアドレスでサインアップしFirebase IDトークンを取得する<br>2. POST /api/v1/user/auth/register をリクエストする (body: {name: ""新規ユーザー""})<br>3. レスポンスを確認する","HTTP 201 が返り、data.userId が非空文字列で返却される。data.plan が ""FREE"" であること。data.role が ""USER"" であること",false,Vitest,apps/web/__tests__/api/v1/user.test.ts,実装済み,apps/web/lib/api/server/v1/user.ts (POST /auth/register),新規ユーザー登録後のデフォルトプランが FREE であることを確認する観点。既存テスト「新規ユーザー登録ができる」が対応,2026-06-25
440,T-AUTH-002,P0,api,auth,P1,機能適切性,正常系,Firebase Emulatorが起動済み。匿名サインインによりFirebase IDトークンを取得済み,1. POST /api/v1/user/auth/guest/register をリクエストする (body: {})<br>2. レスポンスを確認する<br>3. DBの mUser テーブルを確認する,"HTTP 201 が返り、data.role が ""GUEST"" であること。data.plan が null であること。mUser.role が ""GUEST"" として登録されていること",false,Vitest,apps/web/__tests__/api/v1/user.test.ts,実装済み,apps/web/lib/api/server/v1/user.ts (POST /auth/guest/register),ドキュメントを読まずに触る新規ユーザーがゲストで始めた場合のプランが null になる点を確認,2026-06-25
440,T-BIKE-001,P0,api,bike,P1,機能適切性,正常系,role=USER、plan=FREE のユーザーが認証済みでバイクを0件登録済み,"1. POST /api/v1/user-bike/register をリクエストする (body: {displacement: 400, totalMileage: 0, nickname: ""はじめてのバイク""})<br>2. レスポンスを確認する","HTTP 201 が返り、data.myUserBikeId が非空文字列であること。data.nickname が ""はじめてのバイク"" であること",false,Vitest,apps/web/__tests__/api/v1/userBike.test.ts,未実装,apps/web/lib/api/server/v1/userBike.ts (POST /register)<br>packages/shared-types/src/schemas/userBikeSchema.ts,新規ユーザーが最初のバイクを登録する基本フロー確認,2026-06-25
440,T-BIKE-002,P1,api,bike,P1,使用性,異常系,role=USER、plan=FREE のユーザーが認証済みでバイクを0件登録済み,1. POST /api/v1/user-bike/register をリクエストする (body: {} - bikeId も displacement も未指定)<br>2. レスポンスを確認する,"HTTP 400 が返り、errorCode が ""VALIDATION_ERROR"" であること。エラーメッセージに bikeId または排気量の指定を求める文言が含まれること",true,Vitest,apps/web/__tests__/api/v1/userBike.test.ts,未実装,packages/shared-types/src/schemas/userBikeSchema.ts (UserBikeRegisterRequestSchema refine: bikeIdまたは排気量を指定してください),ドキュメントを読まずに空ボディで送信した際にわかりやすいエラーメッセージが返るかを確認する,2026-06-25
440,T-BIKE-003,P1,api,bike,P1,機能適切性,正常系,role=USER、plan=FREE のユーザーが認証済みでバイクを0件登録済み,1. GET /api/v1/user-bike/bikes をリクエストする<br>2. レスポンスを確認する,HTTP 200 が返り、data.bikes が空配列 [] であること,false,Vitest,apps/web/__tests__/api/v1/userBike.test.ts,未実装,apps/web/lib/api/server/v1/userBike.ts (GET /bikes),空状態（データ0件）での一覧取得が正常に返ることを確認。500エラーや例外にならないことが重要,2026-06-25
440,T-USER-001,P1,api,user,P1,機能適切性,正常系,Firebase認証完了直後の新規ユーザーが POST /api/v1/user/auth/register 済みで、IDトークンを保持している,1. GET /api/v1/user/profile をリクエストする<br>2. レスポンスを確認する,"HTTP 200 が返り、data.userId、data.name、data.role、data.plan がすべて含まれること。plan が ""FREE"" であること",false,Vitest,apps/web/__tests__/api/v1/user.test.ts,実装済み,apps/web/lib/api/server/v1/user.ts (GET /profile),新規登録直後のプロフィール取得で plan フィールドが正しく返却されることを確認,2026-06-25
440,T-USER-002,P1,api,user,P1,使用性,境界値,Firebase認証済みのユーザーが POST /api/v1/user/auth/register 済み,"1. PATCH /api/v1/user/profile をリクエストする (body: {name: ""a"".repeat(50)})<br>2. レスポンスを確認する",HTTP 200 が返り、data.name が50文字の文字列として更新されていること,false,Vitest,apps/web/__tests__/api/v1/user.test.ts,未実装,packages/shared-types/src/schemas/userProfileSchema.ts (max 50)<br>apps/web/lib/api/server/entities/UserEntity.ts (name setter: length > 50),ユーザー名の上限境界値（50文字）が正常に受け付けられることを確認。51文字の境界値超過は既存テストでカバー済み,2026-06-25
440,T-AUTH-003,P1,api,auth,P1,使用性,異常系,Authorizationヘッダーなし,"1. POST /api/v1/user/auth/register をリクエストする (Authorizationヘッダーなし、body: {name: ""テスト""})<br>2. レスポンスを確認する","HTTP 401 が返り、errorCode が ""AUTH_FAILED"" であること。エラーメッセージが日本語で返ること",true,Vitest,apps/web/__tests__/api/v1/user.test.ts,実装済み,apps/web/lib/api/server/v1/user.ts (POST /auth/register - authHeader チェック),新規ユーザーがトークンなしで登録を試みた場合のエラーメッセージが日本語で明確に返ることを確認,2026-06-25
440,T-BIKE-004,P1,e2e,bike,P1,使用性,正常系,認証済みユーザーがバイクを0件登録済みの状態でホーム画面にいる,"1. /app/bike/register に遷移する<br>2. ステップ1の「次へ」をクリックする<br>3. ステップ2の「次へ」をクリックする<br>4. ステップ3でdisplacement=400、totalMileage=0、nickname=""はじめてのバイク""を入力して「登録」を送信する<br>5. 遷移先URLを確認する",/app/home にリダイレクトされること,false,Playwright,apps/e2e/tests/bike/bikeRegister.spec.ts,実装済み,apps/e2e/tests/bike/bikeRegister.spec.ts,新規ユーザーが3ステップフローを完了できることを確認する基本E2Eシナリオ,2026-06-25
440,T-USER-003,P2,api,user,P1,機能適切性,正常系,role=USER、plan=FREE のユーザーが認証済み,1. GET /api/v1/user/plan/histories をリクエストする<br>2. レスポンスを確認する,"HTTP 200 が返り、data 配列に1件の履歴が含まれ、最初のレコードの plan が ""FREE"" であること",false,Vitest,apps/web/__tests__/api/v1/user.test.ts,実装済み,apps/web/lib/api/server/v1/user.ts (GET /plan/histories),新規登録直後はFREEプランの初期履歴が1件存在することを確認。プラン変更案内の起点となるUI要素の前提データ確認も兼ねる,2026-06-25
