requirement_id,test_id,priority,test_level,domain,persona,quality_characteristic,test_type,precondition,steps,expected_result,is_negative,automation,test_file_path,implementation_status,test_basis,notes,created_at
440,T-BIKE-001,P0,api,bike,P1,機能適切性,正常系,role=USER、plan=FREE のユーザーが認証済みでバイクを0件登録済み,"1. POST /api/v1/user-bike/register をリクエストする (body: {displacement: 400, totalMileage: 0, nickname: ""はじめてのバイク""})<br>2. レスポンスを確認する","HTTP 201 が返り、data.myUserBikeId が非空文字列であること。data.nickname が ""はじめてのバイク"" であること",false,Vitest,apps/web/__tests__/api/v1/userBike.test.ts,未実装,apps/web/lib/api/server/v1/userBike.ts (POST /register)<br>packages/shared-types/src/schemas/userBikeSchema.ts,新規ユーザーが最初のバイクを登録する基本フロー確認,2026-06-25
440,T-BIKE-002,P1,api,bike,P1,使用性,異常系,role=USER、plan=FREE のユーザーが認証済みでバイクを0件登録済み,1. POST /api/v1/user-bike/register をリクエストする (body: {} - bikeId も displacement も未指定)<br>2. レスポンスを確認する,"HTTP 400 が返り、errorCode が ""VALIDATION_ERROR"" であること。エラーメッセージに bikeId または排気量の指定を求める文言が含まれること",true,Vitest,apps/web/__tests__/api/v1/userBike.test.ts,未実装,packages/shared-types/src/schemas/userBikeSchema.ts (UserBikeRegisterRequestSchema refine: bikeIdまたは排気量を指定してください),ドキュメントを読まずに空ボディで送信した際にわかりやすいエラーメッセージが返るかを確認する,2026-06-25
440,T-BIKE-003,P1,api,bike,P1,機能適切性,正常系,role=USER、plan=FREE のユーザーが認証済みでバイクを0件登録済み,1. GET /api/v1/user-bike/bikes をリクエストする<br>2. レスポンスを確認する,HTTP 200 が返り、data.bikes が空配列 [] であること,false,Vitest,apps/web/__tests__/api/v1/userBike.test.ts,未実装,apps/web/lib/api/server/v1/userBike.ts (GET /bikes),空状態（データ0件）での一覧取得が正常に返ることを確認。500エラーや例外にならないことが重要,2026-06-25
440,T-BIKE-004,P1,e2e,bike,P1,使用性,正常系,認証済みユーザーがバイクを0件登録済みの状態でホーム画面にいる,"1. /app/bike/register に遷移する<br>2. ステップ1の「次へ」をクリックする<br>3. ステップ2の「次へ」をクリックする<br>4. ステップ3でdisplacement=400、totalMileage=0、nickname=""はじめてのバイク""を入力して「登録」を送信する<br>5. 遷移先URLを確認する",/app/home にリダイレクトされること,false,Playwright,apps/e2e/tests/bike/bikeRegister.spec.ts,実装済み,apps/e2e/tests/bike/bikeRegister.spec.ts,新規ユーザーが3ステップフローを完了できることを確認する基本E2Eシナリオ,2026-06-25
440,T-BIKE-005,P0,api,bike,P2,機能適切性,境界値,"role=USER, plan=PREMIUM, バイク9台登録済み","1. POST /api/v1/user-bike/register<br>2. body: {displacement: 400, nickname: ""10台目バイク""}",HTTP 201 - 10台目の登録に成功する。レスポンスに myUserBikeId が含まれる,false,Vitest,apps/web/__tests__/api/v1/userBike.test.ts,未実装,apps/web/lib/statics.ts:PREMIUM_USER_LIMITS.BIKE=10,PREMIUM プランのバイク上限は10台。9台登録済みの状態で10台目が正常に登録できることを確認する,2026-06-25
440,T-BIKE-006,P0,api,bike,P2,機能適切性,境界値,"role=USER, plan=PREMIUM, バイク10台登録済み","1. POST /api/v1/user-bike/register<br>2. body: {displacement: 400, nickname: ""11台目バイク""}","HTTP 400 または 422 - 制限エラー。AccountLimitsValue.isOver('bike', 10) = true。エラーメッセージに「プレミアムユーザーはバイクを10台まで登録できます」を含む",true,Vitest,apps/web/__tests__/api/v1/userBike.test.ts,未実装,apps/web/lib/api/server/valueObjects/AccountLimitsValue.ts:PREMIUM_MESSAGES.bike,PREMIUM プランの上限（10台）を超えた11台目の登録がエラーになることを確認する,2026-06-25
440,T-BIKE-007,P1,api,bike,P2,性能効率性,正常系,"role=USER, plan=PREMIUM, バイク10台登録済み",1. GET /api/v1/user-bike/bikes,HTTP 200 - レスポンスに bikes 配列が10件含まれる。レスポンスタイムが許容範囲内（目安: 3秒以内）,false,Vitest,apps/web/__tests__/api/v1/userBike.test.ts,未実装,apps/web/lib/api/server/v1/userBike.ts:GET /bikes,パワーユーザーが上限の10台を所有した状態で一覧取得できることを確認する。件数の確認とともにパフォーマンスも記録する,2026-06-25
440,T-BIKE-008,P2,api,bike,P2,性能効率性,正常系,"role=USER, plan=PREMIUM, バイク10台登録済み, 各バイクに給油ログ・ツーリング履歴あり",1. GET /api/v1/user-bike/bikes/ongoing-tourings,HTTP 200 - 全バイクの進行中ツーリング情報が返る。bikes 配列の件数が10件,false,Vitest,apps/web/__tests__/api/v1/userBike.test.ts,未実装,apps/web/lib/api/server/v1/userBike.ts:GET /bikes/ongoing-tourings,進行中ツーリング取得は全バイクを並列処理する実装（Promise.all）。10台所有時のパフォーマンスを確認する,2026-06-25
440,T-BIKE-009,P2,api,bike,P2,性能効率性,正常系,"role=USER, plan=PREMIUM, バイク複数台登録済み, 各バイクに給油ログ・ツーリング履歴多数あり",1. GET /api/v1/user-bike/history<br>2. クエリパラメータ: page=1 per-size=20,HTTP 200 - historyItems の配列が最大20件返る。ページネーションが正常に機能する,false,Vitest,apps/web/__tests__/api/v1/userBike.test.ts,未実装,apps/web/lib/api/server/v1/userBike.ts:GET /history,全バイクのヒストリー一覧はページネーション実装あり。大量データ時に正常にページ分割されるか確認する,2026-06-25
440,T-BIKE-010,P1,e2e,bike,P2,使用性,正常系,"role=USER, plan=PREMIUM, バイク10台登録済み",1. ホーム画面へアクセスする<br>2. マイバイク一覧が表示されることを確認する<br>3. バイクを切り替えて各バイクの詳細が表示されることを確認する,10台分のバイク切り替えが遅延なく動作する。各バイクのニックネームと情報が正しく表示される,false,Playwright,,未実装,apps/web/lib/api/server/v1/userBike.ts:GET /bikes,パワーユーザーが10台のバイクを切り替える操作がUIで正常に機能するかを確認するE2Eテスト,2026-06-25
